app_name,category,website
PitchBook,Finance and Fintech,https://pitchbook.com
NotebookLM,"AI, Research and Media-native",https://cloud.google.com/gemini
Otter AI,"AI, Research and Media-native",https://help.otter.ai
Fathom,"AI, Research and Media-native",https://fathom.video
Consensus,"AI, Research and Media-native",https://consensus.app
Reducto,"AI, Research and Media-native",https://reducto.ai
Devin,"AI, Research and Media-native",https://docs.devin.ai
higgsfield,"AI, Research and Media-native",https://higgsfield.ai/cli
Mermaid CLI,"AI, Research and Media-native",https://github.com/mermaid-js/mermaid-cli
YouTube Transcript,"AI, Research and Media-native",https://transcriptapi.com
Grain,"AI, Research and Media-native",https://grain.com
